id,k,keyword,question,correct_letter,sliding_pred,dualmemory_pred,sliding_ok,dualmemory_ok,sliding_tokens,dualmemory_tokens,retrieved_memory,retrieval_ms,sim_ops,ground_truth_sentence
1,6,finish,"Earlier, you mentioned 'finish'. What did you say?",C,C,C,True,True,86,106,User: I'm very busy these days . It seems I can never finish my work .,158.6461067199707,6,I'm very busy these days . It seems I can never finish my work .
2,6,like,"Earlier, you mentioned 'like'. What did you say?",D,D,D,True,True,112,124,User: Did you always like pop music .,177.67763137817383,14,Yes.Do you like it ?
3,6,typographers,"Earlier, you mentioned 'typographers'. What did you say?",D,D,D,True,True,95,151,"User: Yes , I have been working in the Public Relations Section of a company in the past two years . I plan the advertising campaign and cooperate the work of artists and typographers . Sometimes I have to do the work of a specialist when there ’ s something urgent .",219.9077606201172,13,"Yes , I have been working in the Public Relations Section of a company in the past two years . I plan the advertising campaign and cooperate the work of artists and typographers . Sometimes I have to do the work of a specialist when there ’ s something urgent ."
4,6,please,"Earlier, you mentioned 'please'. What did you say?",A,A,A,True,True,75,82,User: Please .,140.25235176086426,9,Please .
5,6,about,"Earlier, you mentioned 'about'. What did you say?",A,A,A,True,True,71,89,User: A movie ? Sure . Do you know what's on right now ?,137.5143527984619,5,How about a movie ? We haven't done that for a while .
6,6,tiananmen,"Earlier, you mentioned 'tiananmen'. What did you say?",D,D,D,True,True,115,125,User: What's Tiananmen famous for ?,168.95627975463867,6,What's Tiananmen famous for ?
7,6,tell,"Earlier, you mentioned 'tell'. What did you say?",D,D,D,True,True,49,60,User: Tell me what you need .,162.39356994628906,4,Tell me what you need .
8,6,valuables,"Earlier, you mentioned 'valuables'. What did you say?",A,A,A,True,True,60,74,User: Here is your valuable . Is that right ?,124.01556968688965,6,I want to pick up my valuables .
9,6,kidding,"Earlier, you mentioned 'kidding'. What did you say?",B,B,B,True,True,69,82,"User: Don ’ t be kidding , OK ?",118.42107772827148,4,"Don ’ t be kidding , OK ?"
10,6,inevitable,"Earlier, you mentioned 'inevitable'. What did you say?",A,A,A,True,True,65,92,"User: It's inevitable . Their love wasbuilt on the sand , and this is why their marriage has landed on the rocks .",171.8618869781494,4,"It's inevitable . Their love wasbuilt on the sand , and this is why their marriage has landed on the rocks ."
11,6,thank,"Earlier, you mentioned 'thank'. What did you say?",B,A,A,False,False,92,100,User: Thank you .,161.35096549987793,9,Thank you .
12,6,thought,"Earlier, you mentioned 'thought'. What did you say?",A,A,A,True,True,38,50,User: We're thinking about going to America .,137.09616661071777,4,Have you thought about the cost ?
13,6,stockholders,"Earlier, you mentioned 'stockholders'. What did you say?",D,D,D,True,True,221,259,"User: So tell me , what's the difference between the Board of Directors , the CEO , and the stockholders ? They all seems ot be the same group of people to me ...",410.6862545013428,4,"No , there's a definite difference . You know , the stockholders are the people who own the company ... they're the financial control system . Then there's the CEO — the chief executive officer . He's the hot shot , the main guy who is the boss . If there is only one person with absolute power in the organization , everyone knows that the power will go to their head . It's too dangerous . That's the reason for a Board of Directors . The board is made up of people who are experts in the industry . They could be related to the organization , but more commonly , they are independent and non-biased ."
14,6,already,"Earlier, you mentioned 'already'. What did you say?",A,A,A,True,True,144,164,User: I told you already ! I ’ m going to get my nails done .,163.00272941589355,8,I told you already ! I ’ m going to get my nails done .
15,6,grand,"Earlier, you mentioned 'grand'. What did you say?",C,C,C,True,True,58,67,User: The Grand Hotel .,109.37023162841797,7,The Grand Hotel ?
